Salary Grade,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8
1,"15,208","15,304","15,423","15,542","15,663","15,784","15,906","16,030"
2,"16,118","16,233","16,349","16,466","16,582","16,700","16,820","16,939"
3,"17,120","17,244","17,366","17,490","17,616","17,740","17,868","17,994"
4,"18,180","18,309","18,440","18,571","18,704","18,836","18,971","19,106"
5,"19,296","19,434","19,573","19,712","19,852","19,994","20,137","20,280"
6,"20,474","20,620","20,767","20,916","21,065","21,215","21,367","21,520"
7,"21,872","22,034","22,196","22,362","22,526","22,693","22,860","23,030"
8,"23,399","23,603","23,808","24,014","24,221","24,432","24,644","24,859"
9,"25,433","25,627","25,823","26,021","26,220","26,421","26,624","26,828"
10,"28,247","28,462","28,678","28,896","29,1 16","29,337","29,561","29,787"
11,"33,387","33,501","33,790","34,082","34,378","34,679","34,983","35,292"
12,"35,650","35,771","36,059","36,350","36,645","36,944","37,246","37,552"
13,"37,828","37,987","38,303","38,623","38,948","39,276","39,608","39,945"
14,"40,505","40,882","41,263","41,650","42,040","42,436","42,837","43,243"
15,"44,148","44,564","44,985","45,412","45,844","46,281","46,723","47,172"
16,"47,829","48,286","48,750","49,’219","49,694","50,175","50,662","51,154"
17,"51,877","52,381","52,891","53,407","53,929","54,459","54,993","55,536"
18,"56,332","56,885","57,447","58,013","58,589","59,171","59,760","60,356"
19,"61,916","62,729","63,556","64,395","65,249","66,116","66,999","67,895"
20,"69,138","70,056","70,990","71,938","72,903","73,857","74,813","75,756"
21,"76,594","77,628","78,679","79,747","80,833","81,936","82,982","84,121"
22,"85,431","86,598","87,785","88,991","90,216","91,380","92,645","93,930"
23,"95,296","96,612","97,952","99,320","100,814","102,331","103,873","105,308"
24,"107,022","108,627","110,260","111,918","113,603","115,317","116,952","118,719"
25,"121,559","123,385","125,242","127,128","129,047","130,995","132,977","134,989"
26,"137,362","139,425","141,523","143,655","145,823","148,024","150,262","152,538"
27,"155,217","157,550","159,921","162,184","164,630","166,512","169,030","171,587"
28,"173,788","176,411","179,077","181,457","184,205","186,999","189,319","192,196"
29,"194,570","197,521","200,519","203,567","206,663","209,044","212,230","215,469"
30,"218,237","221,556","224,726","227,943","231,209","234,743","238,113","241,758"
31,"308,730","314,460","320,302","325,952","331,707","337,758","343,862","350,080"
32,"364,586","371,607","378,767","385,708","393,154","400,750","408,500","416,404"
33,"459,469","472,641",,,,,,
